Customer_ID,Customer_Name,Age,Gender,Annual_Income,Country,Purchase_Frequency,Loyalty_Status,Total_Spend,Customer_Satisfaction_Score
1,David,41,Female,132381.04561932344,Germany,91,Gold,11937.797686153046,8.865703127293994
2,Charlie,21,Female,96650.14575712629,Japan,90,Gold,9522.784271998627,4.813114545906213
3,Charlie,78,Non-Binary,71372.74142023528,UK,74,Silver,75457.15421411405,2.7268240727320423
4,Charlie,68,Non-Binary,136741.38413145975,UK,25,Silver,29366.78553307913,6.870196227457582
5,Alice,30,Male,83407.50148537697,Germany,24,Bronze,75011.91830283498,7.766077758633095
6,Charlie,61,Non-Binary,36675.54130610748,Germany,17,Gold,3168.947567763883,5.928659222583829
7,Alice,42,Female,53105.610331633696,India,50,Silver,98534.76479921215,2.4419052087119173
8,Alice,63,Male,72870.93358129147,USA,2,Gold,72193.17711836334,9.317549778140037
9,Bob,65,Non-Binary,86166.6664437248,Australia,3,Silver,52218.51384661179,7.881660294786474
10,David,57,Female,142780.73197382578,India,1,Gold,58540.67248798984,6.76234819577052
11,Alice,65,Non-Binary,61368.345745383616,USA,61,Bronze,3783.962200268216,2.6736268063800934
12,Charlie,57,Female,137816.9854052831,Germany,22,Gold,74279.10993935193,4.683963298876862
13,Eve,26,Male,,Japan,19,Gold,5978.856378766408,7.54678076886995
14,Charlie,25,Female,,UK,51,Silver,61067.90053190486,8.771087828775212
15,Bob,79,Male,94402.09820143925,USA,11,Gold,43050.130800359446,9.101385625344799
16,David,41,Female,109783.45260879805,India,17,Gold,43706.03337605502,6.359921654277415
17,Alice,56,Male,37690.56405310887,India,59,Gold,64135.65460330684,5.53577066303605
18,Bob,75,Male,53528.19816227123,Australia,98,Gold,84974.7543778106,7.374397276984442
19,Bob,79,Male,37147.5375196598,UK,50,Silver,45347.38233765564,2.8074361513969244
20,Bob,72,Male,49246.66242709048,Japan,12,Gold,54711.375644572545,9.437253116820257
21,Charlie,69,Female,40959.32255602554,India,49,Bronze,51100.080711976945,1.0636922850402457
22,Bob,62,Female,106975.6329787614,India,64,Bronze,55328.61975426858,2.784246724012254
23,David,51,Male,134524.03341999967,UK,77,Gold,,2.220373754874142
24,Charlie,30,Non-Binary,104082.16649929353,Germany,43,Bronze,,3.118691979400215
25,David,20,Female,65618.02959187109,India,18,Silver,63505.653724465395,5.378943189859369
26,Eve,51,Male,136429.6782336519,Australia,79,Silver,91695.04762355001,3.890886637280765
27,Charlie,69,Non-Binary,24391.38259532161,UK,23,Bronze,60184.0945375708,2.4520986712528705
28,David,56,Male,79224.71287197113,Japan,87,Bronze,36549.04800233976,5.8689828327216595
29,David,39,Female,137873.7876467309,USA,32,Silver,19775.093107790974,1.231989485492805
30,Bob,64,Non-Binary,75339.88649816433,UK,69,Gold,21969.717042205688,6.889733068398816
31,David,57,Male,59802.318750901904,Australia,55,Bronze,3590.564301566218,3.060718395344045
32,Bob,29,Female,29748.45228966718,USA,35,Gold,70997.47626000388,4.650045734956936
33,Alice,68,Non-Binary,25099.17834302634,Australia,67,Silver,76333.26019264705,4.403426253835585
34,Bob,28,Female,106258.19477192886,India,77,Gold,75834.95880769585,3.981614052239064
35,Bob,63,Female,83315.24583640145,USA,25,Gold,54518.5276948672,6.136648250077009
36,David,59,Non-Binary,108732.95798387831,UK,47,Silver,55463.023343261586,4.2690083089944615
37,Charlie,68,Non-Binary,33650.92397768014,USA,19,Bronze,45079.04412481306,6.4603520163924015
38,Charlie,34,Non-Binary,33111.04453863292,USA,7,Silver,46626.02490028906,8.245310134749936
39,Eve,45,Female,125692.22666953757,UK,63,Silver,37030.79789323902,1.3480532044149953
40,Bob,75,Non-Binary,92023.63278136165,UK,52,Silver,40606.63332377932,6.219557445921467
41,Charlie,78,Female,45023.26847064942,India,91,Bronze,21778.71278415614,7.29916474513514
42,Alice,24,Female,121416.03114655998,Germany,6,Gold,83644.8996956563,6.292847415107074
43,Alice,41,Female,20436.08672358357,USA,26,Bronze,23215.499721575925,1.778372763110186
44,Eve,20,Non-Binary,61688.59916647808,USA,94,Gold,72224.42476838651,1.1730815729579178
45,Eve,53,Female,,Australia,22,Gold,18832.539140867644,2.3805260978324414
46,Charlie,34,Female,38648.709805395716,Germany,24,Bronze,74872.3367295903,8.7350886417798
47,Alice,60,Non-Binary,124658.51219023696,USA,52,Bronze,53260.30413313124,4.079667968911649
48,Alice,59,Male,58157.027211192144,Japan,23,Bronze,19548.167323900045,6.506867076430931
49,Charlie,50,Male,31387.263458942696,Japan,99,Gold,4379.893682261898,6.346652880608742
50,Alice,31,Non-Binary,70839.48472653344,Japan,83,Gold,50989.40098043984,8.243416763836798
51,Bob,53,Female,115114.80558282668,UK,4,Gold,81825.0045892071,2.7148853196595044
52,Bob,54,Non-Binary,68099.6471962914,Japan,1,Silver,,3.640187446612539
53,Eve,30,Male,46813.61644941592,Germany,25,Silver,62855.71136771504,8.035629490821314
54,Charlie,53,Non-Binary,82265.20566211906,USA,10,Silver,97567.52599323752,5.230717119576749
55,Bob,36,Non-Binary,60027.25684869405,Australia,64,Gold,82606.76153897082,5.848346258707826
56,Alice,77,Female,,Japan,69,Silver,63531.45932353825,9.588113594911421
57,Bob,57,Female,27589.084983168752,USA,95,Gold,50707.287815159005,7.266849173833174
58,Charlie,54,Female,147472.7063584215,Australia,25,Gold,15027.697836641997,2.502712805485645
59,Eve,77,Male,48978.36782133808,UK,14,Bronze,28084.501656843287,7.596982641643048
60,David,30,Female,24016.38000052573,Germany,61,Gold,78891.86424542037,5.993253513922256
61,Alice,65,Non-Binary,108453.1043672461,India,59,Silver,65607.57911789084,2.321776935546877
62,Bob,59,Non-Binary,79601.1473278552,USA,20,Silver,40572.26858621699,6.269658811113122
63,Bob,57,Male,111698.18769779183,Germany,79,Silver,50013.66067361004,1.1803990356192626
64,Eve,46,Female,43651.46335896053,UK,92,Silver,1278.1833544307374,3.262137597111785
65,Charlie,55,Non-Binary,87878.14520133748,Germany,51,Bronze,71854.36978540299,2.0023449577723706
66,Eve,46,Female,74294.2948062701,Japan,73,Bronze,42900.817199599216,5.259780321573801
67,Eve,50,Non-Binary,132035.16626354982,UK,95,Bronze,52047.8375848398,5.603064846308473
68,Alice,35,Male,67703.36458621436,USA,7,Gold,65731.00043435112,7.765286428409302
69,Bob,47,Non-Binary,111358.67333181914,Australia,86,Silver,,7.705486162957962
70,Alice,54,Male,,Australia,69,Gold,68688.1645193347,1.9691694466413194
71,David,58,Female,22770.79515698593,UK,60,Gold,92216.53705747415,3.5110494085263624
72,Bob,44,Male,130762.6761662396,UK,45,Silver,28656.1144627991,9.176747510250951
73,Eve,39,Female,110311.95820460109,UK,90,Silver,47445.22295923357,6.067731787909365
74,Bob,40,Non-Binary,25885.656574617977,India,67,Gold,41312.187059142336,2.1227184850273257
75,Eve,20,Male,74910.69222963115,USA,10,Silver,,2.450497346159399
76,David,41,Non-Binary,52762.55957332415,USA,57,Bronze,14146.297239275427,5.361178867015991
77,Bob,41,Female,45743.32747061616,Germany,82,Silver,5043.423117761859,8.778270252999594
78,Bob,20,Non-Binary,35881.17874727938,UK,16,Silver,64474.298017746405,3.986648012296585
79,Eve,48,Non-Binary,,India,17,Silver,41489.617551497584,7.339364968447153
80,Alice,32,Male,124301.13741708736,Germany,26,Silver,49316.87061685039,3.4918948344198184
81,Bob,77,Male,73139.71191800438,USA,75,Bronze,45551.691276088044,1.216190495900582
82,Bob,29,Non-Binary,26352.62143926581,Germany,19,Bronze,2458.4673963949804,4.502918380871346
83,Bob,66,Male,42914.222804397505,USA,20,Gold,22383.12723734095,4.172272839955472
84,Charlie,61,Male,128829.716159896,Germany,3,Bronze,31836.150744592498,8.793573427488973
85,David,42,Female,80676.6385155215,Australia,57,Gold,41423.17990529177,1.2388043969313327
86,Alice,39,Female,32195.619984650744,Japan,79,Bronze,76419.48677284116,8.312860156042092
87,Charlie,35,Male,142706.85883347297,Germany,89,Bronze,71826.0311921459,5.119113655406548
88,David,67,Non-Binary,39435.17542567038,Australia,66,Gold,72081.38367397233,3.621073400876522
89,Bob,33,Male,91075.53494293077,Japan,25,Gold,73874.60145111008,9.51052681610276
90,Eve,57,Male,147073.0290931189,UK,73,Gold,31870.87783545185,8.538888081268485
91,Eve,32,Non-Binary,122901.45666693548,Germany,58,Gold,,1.4816361869119365
92,Bob,78,Female,79350.22839934441,India,42,Bronze,6730.139319267633,1.2399907097124563
93,Alice,59,Female,36722.52460923113,Germany,6,Bronze,16703.399278549292,3.2295859627667562
94,Eve,38,Female,111347.06806109226,UK,20,Silver,75853.02944195598,7.129865363655704
95,Alice,49,Female,67796.84316784094,UK,55,Silver,68081.65126571093,2.7107713273676906
96,Alice,68,Non-Binary,22024.284783170337,UK,25,Bronze,3581.7854339414566,8.940379591791057
97,Alice,69,Male,47234.154574879845,India,59,Bronze,29036.818847096103,1.9059346201660423
98,Charlie,38,Non-Binary,50571.06995963933,Germany,48,Bronze,61693.56652490515,8.906569715429535
99,Alice,35,Non-Binary,106312.21593948096,India,72,Silver,44715.89496464536,6.046024424752275
100,Eve,42,Male,148116.2416385136,USA,60,Gold,,7.189637689722484
101,David,47,Male,127487.06716882922,UK,70,Silver,85037.10068769648,7.683902200363959
102,Bob,21,Female,107177.04533831854,India,12,Bronze,66990.06326046305,5.791079829659966
103,Bob,73,Non-Binary,56584.02404520878,UK,87,Gold,25585.37292811451,9.081930500028697
104,Alice,18,Female,21365.92867595698,Australia,38,Bronze,71662.51482848838,5.35618648596333
105,David,35,Female,113156.44078692947,Japan,3,Silver,23962.071323136297,4.878595920641915
106,Alice,33,Female,129583.1814646513,Australia,93,Silver,99255.69856998221,5.949291039338733
107,Charlie,25,Non-Binary,116311.21752004793,Japan,65,Bronze,58153.824591249366,7.358744042565587
108,David,58,Female,112767.67203581036,Australia,9,Bronze,37586.98956224361,8.319292806107965
109,Bob,76,Female,131332.20136943593,India,22,Bronze,29162.6916663124,2.457972916101051
110,Bob,68,Non-Binary,,USA,69,Silver,41578.07688484613,5.299357353882518
111,Charlie,73,Non-Binary,32909.569012391046,India,81,Bronze,85036.4329198273,9.214316083169154
112,Bob,28,Male,79425.95050526198,Germany,74,Bronze,44800.99996246093,6.233971742092575
113,Eve,19,Male,148347.1364942661,Australia,98,Silver,38202.48601076403,6.087055950428062
114,Charlie,45,Male,46818.06987214915,Australia,95,Bronze,,8.347875435098082
115,Bob,60,Non-Binary,,India,67,Silver,13789.35052321499,2.9366959628555973
116,Bob,55,Male,140808.66405346856,Australia,24,Gold,90869.91755888866,9.611743941200672
117,Charlie,28,Non-Binary,,Japan,45,Gold,27180.10630749273,4.320587388550427
